5 X 7
10 X 1
5 X 7
10 X 47
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
10 X 63
6 X 1
5 X 7
10 X 34
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
13 X 1
5 X 2
10 X 49
5 X 1
10 X 9
11 X 1
5 X 1
13 X 1
5 X 2
10 X 59
11 X 1
10 X 1
6 X 1
5 X 2
10 X 59
11 X 1
5 X 1
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
13 X 1
5 X 2
10 X 47
5 X 3
10 X 9
11 X 1
5 X 1
13 X 1
5 X 2
10 X 48
5 X 4
10 X 7
11 X 1
5 X 1
0 X 1
5 X 2
10 X 59
11 X 1
5 X 1
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 6
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 62
10 X 63
10 X 59
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 62
10 X 63
10 X 63
10 X 47
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 62
10 X 63
10 X 63
10 X 63
10 X 59
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 62
10 X 63
10 X 63
10 X 63
10 X 31
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 62
10 X 63
10 X 26
6 X 1
5 X 3
10 X 60
10 X 58
13 X 1
5 X 6
10 X 57
10 X 29
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 6
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 6
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 6
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 6
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 6
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 6
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 6
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 6
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 7
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 7
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 50
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 7
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 7
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 60
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 7
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 53
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 7
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 53
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 7
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 62
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 7
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 62
10 X 1
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 6
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 62
10 X 16
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 7
13 X 1
5 X 2
10 X 59
11 X 1
5 X 1
10 X 62
10 X 14
13 X 1
5 X 2
10 X 59
